Video Title,Video URL,Likes,Comment,category,Comment_clean,lang,tokens_clean
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,There is no NewJeans without Danielle. She's a core member.,뉴진스,there is no newjeans without danielle she s a core member,en,newjeans without danielle core member
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,방시혁이 omg 성공하고나서 뜬금없이 즐거우세요? 즐거우시냐고요 보냈던게 이해가감 ㄷㄷ,뉴진스,방시혁이 omg 성공하고나서 뜬금없이 즐거우세요 즐거우시냐고요 보냈던게 이해가감,ko,방시혁 omg 성공하다 뜬금없이 즐겁다 즐겁다 고요 보내다 이해 가감
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,혼란스러우니까 omg를 듣자.,뉴진스,혼란스러우니까 omg를 듣자,ko,혼란 스럽다 omg 듣다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,하이브가 최신 댓글을 삭제 중입니다. 계속 좋아요를 눌러주세요,뉴진스,하이브가 최신 댓글을 삭제 중입니다 계속 좋아요를 눌러주세요,ko,하이브 최신 댓글 삭제 계속 좋다 누르다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,NewJeans never dies-Danielle,뉴진스,newjeans never dies danielle,en,newjeans never dy danielle
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,민희진 지키라는 댓글 아까 30분전에 배댓이였는데 둘 다 사라짐 민희진 뉴진스 절대 지켜,뉴진스,민희진 지키라는 댓글 아까 30분전에 배댓이였는데 둘 다 사라짐 민희진 뉴진스 절대 지켜,ko,민희진 지키다 댓글 아깝다 30분 전에 배댓 사라지다 민희진 뉴진스 절대 지키다
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,딴건 우연이라 쳐도 왜 이 노래에서 오직 너뿐이야랑 난 너뿐이야라는 표현 냅두고 '단' 너뿐이라고 뜬금없이 표현했을까 거기다 중간에 실제 역도 아니고 촬영 세트장인데 ㄷㅇㄷ 주센터가 있는 신도림을 굳이 흑백 사진에 작게 넣었을까...? 진짜 의도한거면 민희진은 신이다,뉴진스,딴건 우연이라 쳐도 왜 이 노래에서 오직 너뿐이야랑 난 너뿐이야라는 표현 냅두고 단 너뿐이라고 뜬금없이 표현했을까 거기다 중간에 실제 역도 아니고 촬영 세트장인데 주센터가 있는 신도림을 굳이 흑백 사진에 작게 넣었을까 진짜 의도한거면 민희진은 신이다,ko,따다 우연 이라 치다 노래 오직 너뿐이야 너뿐이야 라는 표현 내다 두다 너뿐이 라고 뜬금없이 표현 거기 중간 실제 역도 아니다 촬영 세트 인데 센터 신도림 굳이 흑백 사진 작다 넣다 의도 민희진
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,갑자기 뉴진스가 안쓰러워보임.... 민희진씨는 레알 엄마의 마음으로 딸들을 사이비로부터 지키려했던 거임....ㅠㅜ,뉴진스,갑자기 뉴진스가 안쓰러워보임 민희진씨는 레알 엄마의 마음으로 딸들을 사이비로부터 지키려했던 거임,ko,갑자기 뉴진스 안쓰럽다 보임 민희진 레알 엄마 마음 사이비 로부터 지키다 거임
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,I really miss that era,뉴진스,i really miss that era,en,really miss era
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1&pp=ygUJ64m07KeE7IqkoAcB,2490682,여러분 가능하시다면 OMG 스밍해 주세요. 언론에서 이 사건을 안해줘서 omg 1위 만들어야만 알 수 있습니다. 힘들으셔도 한번만 해주세요.,뉴진스,여러분 가능하시다면 omg 스밍해 주세요 언론에서 이 사건을 안해줘서 omg 1위 만들어야만 알 수 있습니다 힘들으셔도 한번만 해주세요,ko,여러분 가능하다 omg 스밍해 줄다 언론 사건 해주다 omg 만들다 힘들다 한번 해주다
